date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country
20140502T000000,313000.0,3,1.5,1340.0,7912.0,1.5,0,0,3,1340,0,1955,,18810 Densmore Ave N,Shoreline,WA 98133,USA
20140502T000000,2384000.0,5,2.5,3650.0,9050.0,2.0,0,4,5,3370,280,1921,,709 W Blaine St,Seattle,WA 98119,USA
20140502T000000,342000.0,3,2.0,1930.0,11947.0,1.0,0,0,4,1930,0,1966,,26206-26214 143rd Ave SE,Kent,WA 98042,USA
20140502T000000,420000.0,3,2.25,2000.0,8030.0,1.0,0,0,4,1000,1000,1963,,857 170th Pl NE,Bellevue,WA 98008,USA
20140502T000000,550000.0,4,2.5,1940.0,10500.0,1.0,0,0,4,1140,800,1976,,9105 170th Ave NE,Redmond,WA 98052,USA
20140502T000000,490000.0,2,1.0,880.0,6380.0,1.0,0,0,3,880,0,1938,1994.0,522 NE 88th St,Seattle,WA 98115,USA
20140502T000000,335000.0,2,2.0,1350.0,2560.0,1.0,0,0,3,1350,0,1976,,2616 174th Ave NE,Redmond,WA 98052,USA
20140502T000000,482000.0,4,2.5,2710.0,35868.0,2.0,0,0,3,2710,0,1989,,23762 SE 253rd Pl,Maple Valley,WA 98038,USA
20140502T000000,452500.0,3,2.5,2430.0,88426.0,1.0,0,0,4,1570,860,1985,,46611-46625 SE 129th St,North Bend,WA 98045,USA
20140502T000000,640000.0,4,2.0,1520.0,6200.0,1.5,0,0,3,1520,0,1945,,6811 55th Ave NE,Seattle,WA 98115,USA
20140502T000000,463000.0,3,1.75,1710.0,7320.0,1.0,0,0,3,1710,0,1948,,Burke-Gilman Trail,Lake Forest Park,WA 98155,USA
20140502T000000,1400000.0,4,2.5,2920.0,4000.0,1.5,0,0,5,1910,1010,1909,,3838-4098 44th Ave NE,Seattle,WA 98105,USA
20140502T000000,588500.0,3,1.75,2330.0,14892.0,1.0,0,0,3,1970,360,1980,,1833 220th Pl NE,Sammamish,WA 98074,USA
20140502T000000,365000.0,3,1.0,1090.0,6435.0,1.0,0,0,4,1090,0,1955,,2504 SW Portland Ct,Seattle,WA 98106,USA
20140502T000000,1200000.0,5,2.75,2910.0,9480.0,1.5,0,0,3,2910,0,1939,,3534 46th Ave NE,Seattle,WA 98105,USA
20140502T000000,242500.0,3,1.5,1200.0,9720.0,1.0,0,0,4,1200,0,1965,,14034 SE 201st St,Kent,WA 98042,USA
20140502T000000,419000.0,3,1.5,1570.0,6700.0,1.0,0,0,4,1570,0,1956,,15424 SE 9th St,Bellevue,WA 98007,USA
20140502T000000,367500.0,4,3.0,3110.0,7231.0,2.0,0,0,3,3110,0,1997,,11224 SE 306th Pl,Auburn,WA 98092,USA
20140502T000000,257950.0,3,1.75,1370.0,5858.0,1.0,0,0,3,1370,0,1987,,1605 S 245th Pl,Des Moines,WA 98198,USA
20140502T000000,275000.0,3,1.5,1180.0,10277.0,1.0,0,0,3,1180,0,1983,,12425 415th Ave SE,North Bend,WA 98045,USA
20140502T000000,750000.0,3,1.75,2240.0,10578.0,2.0,0,0,5,1550,690,1923,,3225 NE 92nd St,Seattle,WA 98115,USA
20140502T000000,435000.0,4,1.0,1450.0,8800.0,1.0,0,0,4,1450,0,1954,,3922 154th Ave SE,Bellevue,WA 98006,USA
20140502T000000,626000.0,3,2.25,1750.0,1572.0,2.5,0,0,3,1470,280,2005,,3140 Franklin Ave E,Seattle,WA 98102,USA
20140502T000000,612500.0,4,2.5,2730.0,12261.0,2.0,0,0,3,2730,0,1991,,10212 NE 156th Pl,Bothell,WA 98011,USA
20140502T000000,495000.0,4,1.75,1600.0,6380.0,1.0,0,0,3,1130,470,1959,,2021 NE 100th St,Seattle,WA 98125,USA
