CDP Name,County[1],Population,,,
2010 Census[2],Land area[3],Latitude Longitude[4],,,
sqmi,km2,,,,
Aberdeen Gardens,Grays Harbor,279,1.62,4.2,47°03′26″N 123°46′40″W
Acme,Whatcom,246,6.14,15.9,48°43′11″N 122°14′19″W
Addy,Stevens,268,0.35,0.91,48°21′32″N 117°50′14″W
Ahtanum,Yakima,"3,601",7.7,19.9,46°33′29″N 120°36′20″W
Alder,Pierce,227,3.21,8.3,46°47′16″N 122°15′58″W
Alderton,Pierce,"2,893",5.32,13.8,47°10′16″N 122°13′11″W
Alderwood Manor,Snohomish,"8,442",1.95,5.1,47°48′52″N 122°16′04″W
Alger,Skagit,403,2.61,6.8,48°36′39″N 122°19′48″W
Allyn,Mason,"1,963",1.58,4.1,47°23′07″N 122°50′30″W
Altoona,Wahkiakum,39,5.09,13.2,46°16′12″N 123°36′54″W
Amanda Park,Grays Harbor,252,8.22,21.3,47°27′14″N 123°55′31″W
Amboy,Clark,"1,608",9.99,25.9,45°54′57″N 122°29′20″W
Ames Lake,King,"1,486",1.6,4.1,47°38′02″N 121°57′38″W
Anderson Island,Pierce,"1,037",7.74,20,47°09′00″N 122°40′54″W
Arlington Heights,Snohomish,"2,284",8.4,21.8,48°12′43″N 122°03′47″W
Artondale,Pierce,"12,653",13.59,35.2,47°18′13″N 122°39′09″W
Ashford,Pierce,217,2.03,5.3,46°45′05″N 122°01′13″W
Bangor Base,Kitsap,"6,054",11.11,28.8,47°43′20″N 122°42′51″W
Banks Lake South,Grant,174,2.44,6.3,47°37′48″N 119°16′28″W
Barberton,Clark,"5,661",4.32,11.2,45°42′49″N 122°36′41″W
Baring,King,220,1.04,2.7,47°46′07″N 121°28′55″W
Barney's Junction,Ferry,146,0.26,0.67,48°37′13″N 118°07′44″W
Barstow,Ferry,59,0.56,1.5,48°46′42″N 118°07′58″W
Basin City,Franklin,"1,092",3.19,8.3,46°35′21″N 119°09′24″W
Bay Center,Pacific,276,0.94,2.4,46°37′15″N 123°57′11″W
Bay View,Skagit,696,2.6,6.7,48°29′13″N 122°27′45″W
Belfair,Mason,"3,931",7.35,19,47°26′56″N 122°50′57″W
Bell Hill,Clallam,837,2.65,6.9,48°03′18″N 123°05′13″W
Bethel,Kitsap,"3,713",3.18,8.2,47°29′15″N 122°37′03″W
Bickleton,Klickitat,88,4.69,12.1,46°00′20″N 120°18′29″W
Big Lake,Skagit,"1,835",3.77,9.8,48°22′59″N 122°13′34″W
Birch Bay,Whatcom,"8,413",16.01,41.5,48°53′47″N 122°44′18″W
Blyn,Clallam,101,4.74,12.3,48°00′35″N 122°58′50″W
Bothell East,Snohomish,"8,018",2.08,5.4,47°48′23″N 122°11′04″W
Bothell West,Snohomish,"16,607",4.22,10.9,47°48′19″N 122°14′27″W
Boulevard Park,King,"5,287",1.21,3.1,47°30′48″N 122°18′53″W
Boyds,Ferry,34,0.2,0.52,48°43′28″N 118°07′56″W
Brady,Grays Harbor,676,6.11,15.8,47°00′17″N 123°32′31″W
Brinnon,Jefferson,797,9.61,24.9,47°40′07″N 122°55′00″W
Browns Point,Pierce,"1,198",0.4,1,47°18′15″N 122°26′12″W
Brush Prairie,Clark,"2,652",7.69,19.9,45°43′30″N 122°32′54″W
