SNo,Name,County,Population,Population,Land area
,,,(2012 est.),-2010,
1,Aberdeen,Grays Harbor,"16,529","16,896",10.65 sq mi (27.6km2)
2,Airway Heights,Spokane,"6,363","6,114",5.63 sq mi (14.6km2)
3,Algona,King,"3,074","3,014",1.29 sq mi (3.3km2)
4,Anacortes,Skagit,"15,928","15,778",11.75 sq mi (30.4km2)
5,Arlington,Snohomish,"18,317","17,926",9.25 sq mi (24.0km2)
6,Asotin,Asotin,"1,270","1,251",1.05 sq mi (2.7km2)
7,Auburn,King,"73,505","70,180",29.62 sq mi (76.7km2)
,,Pierce,,,
8,Bainbridge Island,Kitsap,"23,263","23,025",27.61 sq mi (71.5km2)
9,Battle Ground,Clark,"18,044","17,571",7.16 sq mi (18.5km2)
10,Bellevue,King,"1,26,439","1,22,363",31.97 sq mi (82.8km2)
11,Bellingham,Whatcom,"82,234","80,885",27.08 sq mi (70.1km2)
12,Benton City,Benton,"3,134","3,038",2.46 sq mi (6.4km2)
13,Bingen,Klickitat,724,712,0.62 sq mi (1.6km2)
14,Black Diamond,King,"4,237","4,151",6.01 sq mi (15.6km2)
15,Blaine,Whatcom,"4,744","4,684",5.63 sq mi (14.6km2)
16,Bonney Lake,Pierce,"17,964","17,374",7.94 sq mi (20.6km2)
17,Bothell,King,"34,651","33,505",12.11 sq mi (31.4km2)
,,Snohomish,,,
18,Bremerton,Kitsap,"39,251","37,729",28.41 sq mi (73.6km2)
19,Brewster,Okanogan,"2,386","2,370",1.19 sq mi (3.1km2)
20,Bridgeport,Douglas,"2,444","2,409",1.05 sq mi (2.7km2)
21,Brier,Snohomish,"6,251","6,087",2.13 sq mi (5.5km2)
22,Buckley,Pierce,"4,402","4,354",3.87 sq mi (10.0km2)
23,Burien,King,"49,410","33,313",7.42 sq mi (19.2km2)
24,Burlington,Skagit,"8,470","8,388",4.26 sq mi (11.0km2)
25,Camas,Clark,"20,490","19,355",13.49 sq mi (34.9km2)
26,Carnation,King,"1,823","1,786",1.16 sq mi (3.0km2)
27,Cashmere,Chelan,"3,104","3,063",1.03 sq mi (2.7km2)
28,Castle Rock,Cowlitz,"1,983","1,982",1.59 sq mi (4.1km2)
29,Centralia,Lewis,"16,505","16,336",7.42 sq mi (19.2km2)
30,Chehalis,Lewis,"7,298","7,259",5.53 sq mi (14.3km2)
31,Chelan,Chelan,"3,945","3,890",6.29 sq mi (16.3km2)
32,Cheney,Spokane,"11,018","10,590",4.27 sq mi (11.1km2)
33,Chewelah,Stevens,"2,606","2,607",2.98 sq mi (7.7km2)
34,Clarkston,Asotin,"7,283","7,229",2.01 sq mi (5.2km2)
35,Cle Elum,Kittitas,"1,907","1,872",3.82 sq mi (9.9km2)
36,Clyde Hill,King,"3,047","2,984",1.06 sq mi (2.7km2)
37,Colfax,Whitman,"2,839","2,805",3.79 sq mi (9.8km2)
38,College Place,Walla Walla,"8,884","8,765",2.66 sq mi (6.9km2)
39,Colville,Stevens,"4,669","4,673",2.93 sq mi (7.6km2)
